1,0,0,0
2,22671.6,0,1.96
3,26004.888,0,0.56
4,26098.632,0,0.728
5,26999.952,0,0.56
6,32518.584,0,0.84
7,25892.664,0,0.56
8,27293.616,0,0.56
9,25726.512,0,0.56
10,32480.784,0,0.56
11,25367.664,0,0.56
12,27210.456,0,0.56
13,34506.024,0,0.56
14,63737.184,0,0.56
15,66665.424,0,0.56
16,2998.296,0,0.56
17,60.144,0,0.56
18,59.976,0,0.56
19,60.144,0,0.56
20,59.976,0,0.56
21,60.144,0,0.56
22,59.976,0,0.56
23,59.976,0,0.728
24,59.976,0,0.56
25,60.144,0,0.56
26,59.976,0,0.896
27,60.144,0,0.728
28,59.976,0,0.0
29,60.144,0,0.0
30,59.976,0,0.0
31,31.08,0,0.0
32,0.0,0,0.0
33,0.0,0,0.0
34,0.0,0,0.0
35,0.0,0,0.0
36,0.0,0,0.0
37,0.0,0,0.0
38,0.0,0,0.0
39,0.0,0,0.0
40,0.0,0,0.0
41,0.0,0,0.0
42,0.0,0,0.0
